ID,DATETIME,rho,X
100000059,2020-01-03 11:00:00,ENTITY01,48
100000060,2020-01-03 12:00:00,ENTITY01,45
100000061,2020-01-03 13:00:00,ENTITY01,8
100000062,2020-01-03 14:00:00,ENTITY01,60
100000063,2020-01-03 15:00:00,ENTITY01,83
100000064,2020-01-03 16:00:00,ENTITY01,46
100000065,2020-01-03 17:00:00,ENTITY01,50
100000066,2020-01-03 18:00:00,ENTITY01,60
100000067,2020-01-03 19:00:00,ENTITY01,54
100000068,2020-01-03 20:00:00,ENTITY01,85
100000069,2020-01-03 21:00:00,ENTITY01,36
100000070,2020-01-03 22:00:00,ENTITY01,52
100000071,2020-01-03 23:00:00,ENTITY01,64
100000072,2020-01-04 00:00:00,ENTITY01,91
100000073,2020-01-04 01:00:00,ENTITY01,14
100000074,2020-01-04 02:00:00,ENTITY01,4
100000075,2020-01-04 03:00:00,ENTITY01,37
100000076,2020-01-04 04:00:00,ENTITY01,20
100000077,2020-01-04 05:00:00,ENTITY01,86
100000078,2020-01-04 06:00:00,ENTITY01,30
100000079,2020-01-04 07:00:00,ENTITY01,39
100000080,2020-01-04 08:00:00,ENTITY01,22
100000081,2020-01-04 09:00:00,ENTITY01,64
100000082,2020-01-04 10:00:00,ENTITY01,44
100000083,2020-01-04 11:00:00,ENTITY01,74
100000084,2020-01-04 12:00:00,ENTITY01,64
100000085,2020-01-04 13:00:00,ENTITY01,44
100000086,2020-01-04 14:00:00,ENTITY01,26
100000087,2020-01-04 15:00:00,ENTITY01,23
100000088,2020-01-04 16:00:00,ENTITY01,14
100000089,2020-01-04 17:00:00,ENTITY01,81
100000090,2020-01-04 18:00:00,ENTITY01,4
100000091,2020-01-04 19:00:00,ENTITY01,53
100000092,2020-01-04 20:00:00,ENTITY01,39
100000093,2020-01-04 21:00:00,ENTITY01,52
100000094,2020-01-04 22:00:00,ENTITY01,26
100000095,2020-01-04 23:00:00,ENTITY01,87
100000096,2020-01-05 00:00:00,ENTITY01,59
100000097,2020-01-05 01:00:00,ENTITY01,20
100000098,2020-01-05 02:00:00,ENTITY01,81
100000099,2020-01-05 03:00:00,ENTITY01,47
100000100,2020-01-05 04:00:00,ENTITY01,14
100000101,2020-01-05 05:00:00,ENTITY01,48
100000102,2020-01-05 06:00:00,ENTITY01,57
100000103,2020-01-05 07:00:00,ENTITY01,50
100000104,2020-01-05 08:00:00,ENTITY01,76
100000105,2020-01-05 09:00:00,ENTITY01,99
100000106,2020-01-05 10:00:00,ENTITY01,30
100000107,2020-01-05 11:00:00,ENTITY01,28
100000108,2020-01-05 12:00:00,ENTITY01,69
100000109,2020-01-05 13:00:00,ENTITY01,73
100000110,2020-01-05 14:00:00,ENTITY01,58
100000111,2020-01-05 15:00:00,ENTITY01,15
100000112,2020-01-05 16:00:00,ENTITY01,85
100000113,2020-01-05 17:00:00,ENTITY01,17
100000114,2020-01-05 18:00:00,ENTITY01,4
100000115,2020-01-05 19:00:00,ENTITY01,38
100000116,2020-01-05 20:00:00,ENTITY01,28
100000117,2020-01-05 21:00:00,ENTITY01,46
100000118,2020-01-05 22:00:00,ENTITY01,1
100000119,2020-01-05 23:00:00,ENTITY01,42
100000120,2020-01-06 00:00:00,ENTITY01,79
100000121,2020-01-06 01:00:00,ENTITY01,67
100000122,2020-01-06 02:00:00,ENTITY01,85
100000123,2020-01-06 03:00:00,ENTITY01,98
100000124,2020-01-06 04:00:00,ENTITY01,5
100000125,2020-01-06 05:00:00,ENTITY01,91
100000126,2020-01-06 06:00:00,ENTITY01,2
100000127,2020-01-06 07:00:00,ENTITY01,81
100000128,2020-01-06 08:00:00,ENTITY01,31
100000129,2020-01-06 09:00:00,ENTITY01,21
100000130,2020-01-06 10:00:00,ENTITY01,17
100000131,2020-01-06 11:00:00,ENTITY01,77
100000132,2020-01-06 12:00:00,ENTITY01,19
100000133,2020-01-06 13:00:00,ENTITY01,62
100000134,2020-01-06 14:00:00,ENTITY01,28
100000135,2020-01-06 15:00:00,ENTITY01,9
100000136,2020-01-06 16:00:00,ENTITY01,79
100000137,2020-01-06 17:00:00,ENTITY01,33
100000138,2020-01-06 18:00:00,ENTITY01,83
100000139,2020-01-06 19:00:00,ENTITY01,13
100000140,2020-01-06 20:00:00,ENTITY01,98
100000141,2020-01-06 21:00:00,ENTITY01,5
100000142,2020-01-06 22:00:00,ENTITY01,12
100000143,2020-01-06 23:00:00,ENTITY01,87
100000144,2020-01-07 00:00:00,ENTITY01,89
100000145,2020-01-07 01:00:00,ENTITY01,15
100000146,2020-01-07 02:00:00,ENTITY01,55
100000147,2020-01-07 03:00:00,ENTITY01,57
100000148,2020-01-07 04:00:00,ENTITY01,43
100000149,2020-01-07 05:00:00,ENTITY01,94
100000150,2020-01-07 06:00:00,ENTITY01,2
100000151,2020-01-07 07:00:00,ENTITY01,99
100000152,2020-01-07 08:00:00,ENTITY01,79
100000153,2020-01-07 09:00:00,ENTITY01,68
100000154,2020-01-07 10:00:00,ENTITY01,49
100000155,2020-01-07 11:00:00,ENTITY01,83
100000156,2020-01-07 12:00:00,ENTITY01,34
100000157,2020-01-07 13:00:00,ENTITY01,62
100000158,2020-01-07 14:00:00,ENTITY01,71
100000159,2020-01-07 15:00:00,ENTITY01,63
100000160,2020-01-07 16:00:00,ENTITY01,49
100000161,2020-01-07 17:00:00,ENTITY01,51
100000162,2020-01-07 18:00:00,ENTITY01,22
100000163,2020-01-07 19:00:00,ENTITY01,14
100000164,2020-01-07 20:00:00,ENTITY01,27
100000165,2020-01-07 21:00:00,ENTITY01,70
100000166,2020-01-07 22:00:00,ENTITY01,54
100000167,2020-01-07 23:00:00,ENTITY01,63
100000168,2020-01-08 00:00:00,ENTITY01,22
100000169,2020-01-08 01:00:00,ENTITY01,79
100000170,2020-01-08 02:00:00,ENTITY01,49
100000171,2020-01-08 03:00:00,ENTITY01,21
100000172,2020-01-08 04:00:00,ENTITY01,74
100000173,2020-01-08 05:00:00,ENTITY01,52
100000174,2020-01-08 06:00:00,ENTITY01,80
100000175,2020-01-08 07:00:00,ENTITY01,34
100000176,2020-01-08 08:00:00,ENTITY01,88
100000177,2020-01-08 09:00:00,ENTITY01,1
100000178,2020-01-08 10:00:00,ENTITY01,78
100000179,2020-01-08 11:00:00,ENTITY01,96
100000180,2020-01-08 12:00:00,ENTITY01,82
100000181,2020-01-08 13:00:00,ENTITY01,62
100000182,2020-01-08 14:00:00,ENTITY01,79
100000183,2020-01-08 15:00:00,ENTITY01,1
100000184,2020-01-08 16:00:00,ENTITY01,17
100000185,2020-01-08 17:00:00,ENTITY01,74
100000186,2020-01-08 18:00:00,ENTITY01,63
100000187,2020-01-08 19:00:00,ENTITY01,20
100000188,2020-01-08 20:00:00,ENTITY01,96
100000189,2020-01-08 21:00:00,ENTITY01,61
100000190,2020-01-08 22:00:00,ENTITY01,64
100000191,2020-01-08 23:00:00,ENTITY01,38
100000192,2020-01-09 00:00:00,ENTITY01,22
100000193,2020-01-09 01:00:00,ENTITY01,6
100000194,2020-01-09 02:00:00,ENTITY01,49
100000195,2020-01-09 03:00:00,ENTITY01,49
100000196,2020-01-09 04:00:00,ENTITY01,16
100000197,2020-01-09 05:00:00,ENTITY01,85
100000198,2020-01-09 06:00:00,ENTITY01,72
100000199,2020-01-09 07:00:00,ENTITY01,84
100000200,2020-01-09 08:00:00,ENTITY01,19
100000201,2020-01-09 09:00:00,ENTITY01,95
100000202,2020-01-09 10:00:00,ENTITY01,93
100000203,2020-01-09 11:00:00,ENTITY01,3
100000204,2020-01-09 12:00:00,ENTITY01,31
100000205,2020-01-09 13:00:00,ENTITY01,2
100000206,2020-01-09 14:00:00,ENTITY01,90
100000207,2020-01-09 15:00:00,ENTITY01,75
100000208,2020-01-09 16:00:00,ENTITY01,46
100000209,2020-01-09 17:00:00,ENTITY01,54
100000210,2020-01-09 18:00:00,ENTITY01,52
100000211,2020-01-09 19:00:00,ENTITY01,33
100000212,2020-01-09 20:00:00,ENTITY01,11
100000213,2020-01-09 21:00:00,ENTITY01,1
100000214,2020-01-09 22:00:00,ENTITY01,85
100000215,2020-01-09 23:00:00,ENTITY01,54
100000216,2020-01-10 00:00:00,ENTITY01,94
100000217,2020-01-10 01:00:00,ENTITY01,90
100000218,2020-01-10 02:00:00,ENTITY01,53
100000219,2020-01-10 03:00:00,ENTITY01,70
100000220,2020-01-10 04:00:00,ENTITY01,28
100000221,2020-01-10 05:00:00,ENTITY01,79
100000222,2020-01-10 06:00:00,ENTITY01,66
100000223,2020-01-10 07:00:00,ENTITY01,21
100000224,2020-01-10 08:00:00,ENTITY01,35
100000225,2020-01-10 09:00:00,ENTITY01,61
100000226,2020-01-10 10:00:00,ENTITY01,69
100000227,2020-01-10 11:00:00,ENTITY01,43
100000228,2020-01-10 12:00:00,ENTITY01,16
100000229,2020-01-10 13:00:00,ENTITY01,11
100000230,2020-01-10 14:00:00,ENTITY01,82
100000231,2020-01-10 15:00:00,ENTITY01,95
100000232,2020-01-10 16:00:00,ENTITY01,36
100000233,2020-01-10 17:00:00,ENTITY01,11
100000234,2020-01-10 18:00:00,ENTITY01,69
100000235,2020-01-10 19:00:00,ENTITY01,43
100000236,2020-01-10 20:00:00,ENTITY01,37
100000237,2020-01-10 21:00:00,ENTITY01,73
100000238,2020-01-10 22:00:00,ENTITY01,53
100000239,2020-01-10 23:00:00,ENTITY01,25
100000240,2020-01-11 00:00:00,ENTITY01,61
100000241,2020-01-11 01:00:00,ENTITY01,20
100000242,2020-01-11 02:00:00,ENTITY01,63
100000243,2020-01-11 03:00:00,ENTITY01,21
100000244,2020-01-11 04:00:00,ENTITY01,2
100000245,2020-01-11 05:00:00,ENTITY01,60
100000246,2020-01-11 06:00:00,ENTITY01,10
100000247,2020-01-11 07:00:00,ENTITY01,86
100000248,2020-01-11 08:00:00,ENTITY01,83
100000249,2020-01-11 09:00:00,ENTITY01,51
100000250,2020-01-11 10:00:00,ENTITY01,21
100000251,2020-01-11 11:00:00,ENTITY01,45
100000252,2020-01-11 12:00:00,ENTITY01,91
100000253,2020-01-11 13:00:00,ENTITY01,8
100000254,2020-01-11 14:00:00,ENTITY01,7
100000255,2020-01-11 15:00:00,ENTITY01,13
100000256,2020-01-11 16:00:00,ENTITY01,23
100000257,2020-01-11 17:00:00,ENTITY01,59
100000258,2020-01-11 18:00:00,ENTITY01,77
100000259,2020-01-11 19:00:00,ENTITY01,30
100000260,2020-01-11 20:00:00,ENTITY01,9
100000261,2020-01-11 21:00:00,ENTITY01,85
100000262,2020-01-11 22:00:00,ENTITY01,5
100000263,2020-01-11 23:00:00,ENTITY01,52
100000264,2020-01-12 00:00:00,ENTITY01,9
100000265,2020-01-12 01:00:00,ENTITY01,85
100000266,2020-01-12 02:00:00,ENTITY01,67
100000267,2020-01-12 03:00:00,ENTITY01,98
100000268,2020-01-12 04:00:00,ENTITY01,38
100000269,2020-01-12 05:00:00,ENTITY01,48
100000270,2020-01-12 06:00:00,ENTITY01,23
100000271,2020-01-12 07:00:00,ENTITY01,85
100000272,2020-01-12 08:00:00,ENTITY01,4
100000273,2020-01-12 09:00:00,ENTITY01,42
100000274,2020-01-12 10:00:00,ENTITY01,50
100000275,2020-01-12 11:00:00,ENTITY01,4
100000276,2020-01-12 12:00:00,ENTITY01,71
100000277,2020-01-12 13:00:00,ENTITY01,90
100000278,2020-01-12 14:00:00,ENTITY01,76
100000279,2020-01-12 15:00:00,ENTITY01,21
100000280,2020-01-12 16:00:00,ENTITY01,95
100000281,2020-01-12 17:00:00,ENTITY01,65
100000282,2020-01-12 18:00:00,ENTITY01,57
100000283,2020-01-12 19:00:00,ENTITY01,54
100000284,2020-01-12 20:00:00,ENTITY01,90
100000285,2020-01-12 21:00:00,ENTITY01,72
100000286,2020-01-12 22:00:00,ENTITY01,34
100000287,2020-01-12 23:00:00,ENTITY01,34
100000288,2020-01-13 00:00:00,ENTITY01,85
100000289,2020-01-13 01:00:00,ENTITY01,88
100000290,2020-01-13 02:00:00,ENTITY01,43
100000291,2020-01-13 03:00:00,ENTITY01,87
100000292,2020-01-13 04:00:00,ENTITY01,31
100000293,2020-01-13 05:00:00,ENTITY01,59
100000294,2020-01-13 06:00:00,ENTITY01,6
100000295,2020-01-13 07:00:00,ENTITY01,71
100000296,2020-01-13 08:00:00,ENTITY01,57
100000297,2020-01-13 09:00:00,ENTITY01,52
100000298,2020-01-13 10:00:00,ENTITY01,73
100000299,2020-01-13 11:00:00,ENTITY01,87
100000300,2020-01-13 12:00:00,ENTITY01,24
100000301,2020-01-13 13:00:00,ENTITY01,97
100000302,2020-01-13 14:00:00,ENTITY01,67
100000303,2020-01-13 15:00:00,ENTITY01,59
100000304,2020-01-13 16:00:00,ENTITY01,84
100000305,2020-01-13 17:00:00,ENTITY01,88
100000306,2020-01-13 18:00:00,ENTITY01,34
100000307,2020-01-13 19:00:00,ENTITY01,24
100000308,2020-01-13 20:00:00,ENTITY01,8
100000309,2020-01-13 21:00:00,ENTITY01,60
100000310,2020-01-13 22:00:00,ENTITY01,44
100000311,2020-01-13 23:00:00,ENTITY01,2
100000312,2020-01-14 00:00:00,ENTITY01,99
100000313,2020-01-14 01:00:00,ENTITY01,13
100000314,2020-01-14 02:00:00,ENTITY01,95
100000315,2020-01-14 03:00:00,ENTITY01,65
100000316,2020-01-14 04:00:00,ENTITY01,87
100000317,2020-01-14 05:00:00,ENTITY01,96
100000318,2020-01-14 06:00:00,ENTITY01,95
100000319,2020-01-14 07:00:00,ENTITY01,3
100000320,2020-01-14 08:00:00,ENTITY01,26
100000321,2020-01-14 09:00:00,ENTITY01,64
100000322,2020-01-14 10:00:00,ENTITY01,72
100000323,2020-01-14 11:00:00,ENTITY01,86
100000324,2020-01-14 12:00:00,ENTITY01,24
100000325,2020-01-14 13:00:00,ENTITY01,42
100000326,2020-01-14 14:00:00,ENTITY01,52
100000327,2020-01-14 15:00:00,ENTITY01,75
100000328,2020-01-14 16:00:00,ENTITY01,71
100000329,2020-01-14 17:00:00,ENTITY01,54
100000330,2020-01-14 18:00:00,ENTITY01,26
100000331,2020-01-14 19:00:00,ENTITY01,97
100000332,2020-01-14 20:00:00,ENTITY01,48
100000333,2020-01-14 21:00:00,ENTITY01,25
100000334,2020-01-14 22:00:00,ENTITY01,76
100000335,2020-01-14 23:00:00,ENTITY01,89
100000336,2020-01-15 00:00:00,ENTITY01,75
100000337,2020-01-15 01:00:00,ENTITY01,25
100000338,2020-01-15 02:00:00,ENTITY01,5
100000339,2020-01-15 03:00:00,ENTITY01,85
100000340,2020-01-15 04:00:00,ENTITY01,40
100000341,2020-01-15 05:00:00,ENTITY01,40
100000342,2020-01-15 06:00:00,ENTITY01,37
100000343,2020-01-15 07:00:00,ENTITY01,93
100000344,2020-01-15 08:00:00,ENTITY01,7
100000345,2020-01-15 09:00:00,ENTITY01,37
100000346,2020-01-15 10:00:00,ENTITY01,32
100000347,2020-01-15 11:00:00,ENTITY01,57
100000348,2020-01-15 12:00:00,ENTITY01,88
100000349,2020-01-15 13:00:00,ENTITY01,50
100000350,2020-01-15 14:00:00,ENTITY01,71
100000351,2020-01-15 15:00:00,ENTITY01,0
100000352,2020-01-15 16:00:00,ENTITY01,41
100000353,2020-01-15 17:00:00,ENTITY01,44
100000354,2020-01-15 18:00:00,ENTITY01,34
100000355,2020-01-15 19:00:00,ENTITY01,88
100000356,2020-01-15 20:00:00,ENTITY01,96
100000357,2020-01-15 21:00:00,ENTITY01,58
100000358,2020-01-15 22:00:00,ENTITY01,18
100000359,2020-01-15 23:00:00,ENTITY01,35
100000360,2020-01-16 00:00:00,ENTITY01,45
100000361,2020-01-16 01:00:00,ENTITY01,67
100000362,2020-01-16 02:00:00,ENTITY01,59
100000363,2020-01-16 03:00:00,ENTITY01,85
100000364,2020-01-16 04:00:00,ENTITY01,27
100000365,2020-01-16 05:00:00,ENTITY01,42
100000366,2020-01-16 06:00:00,ENTITY01,82
100000367,2020-01-16 07:00:00,ENTITY01,12
100000368,2020-01-16 08:00:00,ENTITY01,85
100000369,2020-01-16 09:00:00,ENTITY01,22
100000370,2020-01-16 10:00:00,ENTITY01,11
100000371,2020-01-16 11:00:00,ENTITY01,74
100000372,2020-01-16 12:00:00,ENTITY01,25
100000373,2020-01-16 13:00:00,ENTITY01,71
100000374,2020-01-16 14:00:00,ENTITY01,83
100000375,2020-01-16 15:00:00,ENTITY01,22
100000376,2020-01-16 16:00:00,ENTITY01,44
100000377,2020-01-16 17:00:00,ENTITY01,79
100000378,2020-01-16 18:00:00,ENTITY01,8
100000379,2020-01-16 19:00:00,ENTITY01,70
100000380,2020-01-16 20:00:00,ENTITY01,2
100000381,2020-01-16 21:00:00,ENTITY01,78
100000382,2020-01-16 22:00:00,ENTITY01,45
100000383,2020-01-16 23:00:00,ENTITY01,80
100000384,2020-01-17 00:00:00,ENTITY01,70
100000385,2020-01-17 01:00:00,ENTITY01,86
100000386,2020-01-17 02:00:00,ENTITY01,67
100000387,2020-01-17 03:00:00,ENTITY01,32
100000388,2020-01-17 04:00:00,ENTITY01,80
100000389,2020-01-17 05:00:00,ENTITY01,46
100000390,2020-01-17 06:00:00,ENTITY01,70
100000391,2020-01-17 07:00:00,ENTITY01,32
100000392,2020-01-17 08:00:00,ENTITY01,79
100000393,2020-01-17 09:00:00,ENTITY01,27
100000394,2020-01-17 10:00:00,ENTITY01,99
100000395,2020-01-17 11:00:00,ENTITY01,3
100000396,2020-01-17 12:00:00,ENTITY01,43
100000397,2020-01-17 13:00:00,ENTITY01,95
100000398,2020-01-17 14:00:00,ENTITY01,49
100000399,2020-01-17 15:00:00,ENTITY01,7
100000400,2020-01-17 16:00:00,ENTITY01,25
100000401,2020-01-17 17:00:00,ENTITY01,94
100000402,2020-01-17 18:00:00,ENTITY01,58
100000403,2020-01-17 19:00:00,ENTITY01,37
100000404,2020-01-17 20:00:00,ENTITY01,9
100000405,2020-01-17 21:00:00,ENTITY01,75
100000406,2020-01-17 22:00:00,ENTITY01,75
100000407,2020-01-17 23:00:00,ENTITY01,55
100000408,2020-01-18 00:00:00,ENTITY01,67
100000409,2020-01-18 01:00:00,ENTITY01,53
100000410,2020-01-18 02:00:00,ENTITY01,4
100000411,2020-01-18 03:00:00,ENTITY01,56
100000412,2020-01-18 04:00:00,ENTITY01,55
100000413,2020-01-18 05:00:00,ENTITY01,92
100000414,2020-01-18 06:00:00,ENTITY01,47
100000415,2020-01-18 07:00:00,ENTITY01,49
100000416,2020-01-18 08:00:00,ENTITY01,7
100000417,2020-01-18 09:00:00,ENTITY01,10
100000418,2020-01-18 10:00:00,ENTITY01,8
100000419,2020-01-18 11:00:00,ENTITY01,85
100000420,2020-01-18 12:00:00,ENTITY01,45
100000421,2020-01-18 13:00:00,ENTITY01,42
100000422,2020-01-18 14:00:00,ENTITY01,85
100000423,2020-01-18 15:00:00,ENTITY01,13
100000424,2020-01-18 16:00:00,ENTITY01,13
100000425,2020-01-18 17:00:00,ENTITY01,19
100000426,2020-01-18 18:00:00,ENTITY01,3
100000427,2020-01-18 19:00:00,ENTITY01,52
100000428,2020-01-18 20:00:00,ENTITY01,97
100000429,2020-01-18 21:00:00,ENTITY01,19
100000430,2020-01-18 22:00:00,ENTITY01,39
100000431,2020-01-18 23:00:00,ENTITY01,62
100000432,2020-01-19 00:00:00,ENTITY01,89
100000433,2020-01-19 01:00:00,ENTITY01,72
100000434,2020-01-19 02:00:00,ENTITY01,19
100000435,2020-01-19 03:00:00,ENTITY01,70
100000436,2020-01-19 04:00:00,ENTITY01,41
100000437,2020-01-19 05:00:00,ENTITY01,82
100000438,2020-01-19 06:00:00,ENTITY01,6
100000439,2020-01-19 07:00:00,ENTITY01,38
100000440,2020-01-19 08:00:00,ENTITY01,16
100000441,2020-01-19 09:00:00,ENTITY01,84
100000442,2020-01-19 10:00:00,ENTITY01,17
100000443,2020-01-19 11:00:00,ENTITY01,62
100000444,2020-01-19 12:00:00,ENTITY01,56
100000445,2020-01-19 13:00:00,ENTITY01,5
100000446,2020-01-19 14:00:00,ENTITY01,6
100000447,2020-01-19 15:00:00,ENTITY01,8
100000448,2020-01-19 16:00:00,ENTITY01,32
100000449,2020-01-19 17:00:00,ENTITY01,1
100000450,2020-01-19 18:00:00,ENTITY01,82
100000451,2020-01-19 19:00:00,ENTITY01,88
100000452,2020-01-19 20:00:00,ENTITY01,38
100000453,2020-01-19 21:00:00,ENTITY01,87
100000454,2020-01-19 22:00:00,ENTITY01,26
100000455,2020-01-19 23:00:00,ENTITY01,48
100000456,2020-01-20 00:00:00,ENTITY01,72
100000457,2020-01-20 01:00:00,ENTITY01,31
100000458,2020-01-20 02:00:00,ENTITY01,91
100000459,2020-01-20 03:00:00,ENTITY01,38
100000460,2020-01-20 04:00:00,ENTITY01,96
100000461,2020-01-20 05:00:00,ENTITY01,50
100000462,2020-01-20 06:00:00,ENTITY01,88
100000463,2020-01-20 07:00:00,ENTITY01,43
100000464,2020-01-20 08:00:00,ENTITY01,97
100000465,2020-01-20 09:00:00,ENTITY01,74
100000466,2020-01-20 10:00:00,ENTITY01,91
100000467,2020-01-20 11:00:00,ENTITY01,82
100000468,2020-01-20 12:00:00,ENTITY01,88
100000469,2020-01-20 13:00:00,ENTITY01,32
100000470,2020-01-20 14:00:00,ENTITY01,77
100000471,2020-01-20 15:00:00,ENTITY01,29
100000472,2020-01-20 16:00:00,ENTITY01,12
100000473,2020-01-20 17:00:00,ENTITY01,51
100000474,2020-01-20 18:00:00,ENTITY01,7
100000475,2020-01-20 19:00:00,ENTITY01,31
100000476,2020-01-20 20:00:00,ENTITY01,50
100000477,2020-01-20 21:00:00,ENTITY01,71
100000478,2020-01-20 22:00:00,ENTITY01,26
100000479,2020-01-20 23:00:00,ENTITY01,72
100000480,2020-01-21 00:00:00,ENTITY01,23
100000481,2020-01-21 01:00:00,ENTITY01,69
100000482,2020-01-21 02:00:00,ENTITY01,57
100000483,2020-01-21 03:00:00,ENTITY01,79
100000484,2020-01-21 04:00:00,ENTITY01,67
100000485,2020-01-21 05:00:00,ENTITY01,48
100000486,2020-01-21 06:00:00,ENTITY01,53
100000487,2020-01-21 07:00:00,ENTITY01,8
100000488,2020-01-21 08:00:00,ENTITY01,37
100000489,2020-01-21 09:00:00,ENTITY01,78
100000490,2020-01-21 10:00:00,ENTITY01,38
100000491,2020-01-21 11:00:00,ENTITY01,2
100000492,2020-01-21 12:00:00,ENTITY01,96
100000493,2020-01-21 13:00:00,ENTITY01,51
100000494,2020-01-21 14:00:00,ENTITY01,77
100000495,2020-01-21 15:00:00,ENTITY01,38
100000496,2020-01-21 16:00:00,ENTITY01,0
100000497,2020-01-21 17:00:00,ENTITY01,18
100000498,2020-01-21 18:00:00,ENTITY01,89
100000499,2020-01-21 19:00:00,ENTITY01,27
100000500,2020-01-21 20:00:00,ENTITY01,68
100000501,2020-01-21 21:00:00,ENTITY01,0
100000502,2020-01-21 22:00:00,ENTITY01,84
100000503,2020-01-21 23:00:00,ENTITY01,46
100000504,2020-01-22 00:00:00,ENTITY01,41
100000505,2020-01-22 01:00:00,ENTITY01,62
100000506,2020-01-22 02:00:00,ENTITY01,14
100000507,2020-01-22 03:00:00,ENTITY01,56
100000508,2020-01-22 04:00:00,ENTITY01,12
100000509,2020-01-22 05:00:00,ENTITY01,45
100000510,2020-01-22 06:00:00,ENTITY01,11
100000511,2020-01-22 07:00:00,ENTITY01,25
100000512,2020-01-22 08:00:00,ENTITY01,13
100000513,2020-01-22 09:00:00,ENTITY01,69
100000514,2020-01-22 10:00:00,ENTITY01,99
100000515,2020-01-22 11:00:00,ENTITY01,53
100000516,2020-01-22 12:00:00,ENTITY01,18
100000517,2020-01-22 13:00:00,ENTITY01,77
100000518,2020-01-22 14:00:00,ENTITY01,3
100000519,2020-01-22 15:00:00,ENTITY01,80
100000520,2020-01-22 16:00:00,ENTITY01,43
100000521,2020-01-22 17:00:00,ENTITY01,51
100000522,2020-01-22 18:00:00,ENTITY01,36
100000523,2020-01-22 19:00:00,ENTITY01,71
100000524,2020-01-22 20:00:00,ENTITY01,24
100000525,2020-01-22 21:00:00,ENTITY01,37
100000526,2020-01-22 22:00:00,ENTITY01,1
100000527,2020-01-22 23:00:00,ENTITY01,17
100000528,2020-01-23 00:00:00,ENTITY01,99
100000529,2020-01-23 01:00:00,ENTITY01,14
100000530,2020-01-23 02:00:00,ENTITY01,75
100000531,2020-01-23 03:00:00,ENTITY01,57
100000532,2020-01-23 04:00:00,ENTITY01,16
100000533,2020-01-23 05:00:00,ENTITY01,25
100000534,2020-01-23 06:00:00,ENTITY01,37
100000535,2020-01-23 07:00:00,ENTITY01,12
100000536,2020-01-23 08:00:00,ENTITY01,57
